filename,condition,targetword,topic,trial,targetbutton,group,itemnumber
ueb_1.wav,auch,GESETZ,na,na,na,na,na
ueb_2.wav,auch,HOCHZEIT,na,na,na,na,na
ueb_3.wav,kontr,NOTAR,na,na,na,na,na
ueb_4.wav,ohne,KÜNDIGEN,na,na,na,na,na
